GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),MarbelsPerPlayer(Player1Remaining Marbles),MarbelsPerPlayer(Player0Remaining Marbles),RuleCardsUsed(Rule-Setup),RuleCardsUsed(Rule-Movement),RuleCardsUsed(Rule-Push),RuleCardsUsed(Rule-PushOut),RuleCardsUsed(Rule-PushRequirement),RuleCardsUsed(Rule-Victory),PlayerType(PlayerType-1),PlayerType(PlayerType-0),MarbelsRemoved(Player0removed marbles),MarbelsRemoved(Player1removed marbles),WhoPushedOut(Player0Pushed Marbles),WhoPushedOut(Player1Pushed Marbles),Winner(PlayerIdx)
-247460476,MultiverseMarbles,0,GAME_OVER,200,200,2,2032,MCTS-OwnColor,-3.0,-3.0,MCTS,1,MCTS-OwnColor,1,1,1,MCTS,10,10,TWO_SIDES,MOVE_1,PUSH_1,CENTER_IF_FREE,UNEVEN,PUSH_OUT,MCTS,MCTS-OwnColor,[],[],[],[1],-1
1338037251,MultiverseMarbles,0,GAME_OVER,154,153,2,2033,MCTS-OwnColor,1.0,-1.0,MCTS,1,MCTS-OwnColor,1,2,2,MCTS,10,9,TWO_SIDES,LEAPFROG,PUSH_1,CENTER_REPLACE,FEWER_OR_MORE,PUSH_OUT,MCTS,MCTS-OwnColor,[],[1],"[1, 1, 1]","[1, 1, 1]",1
267321394,MultiverseMarbles,0,GAME_OVER,97,96,2,2034,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,5,10,TWO_SIDES,MOVE_2,PUSH_1,OUT_IS_GONE,MORE_OR_EQUAL,PUSH_OUT,MCTS,MCTS-OwnColor,[],"[1, 1, 0, 0, 0]",[],"[1, 1, 0, 0, 0]",0
710691620,MultiverseMarbles,0,GAME_OVER,29,28,2,2035,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,9,10,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,CENTER_IF_FREE,MORE_OR_EQUAL,ANY_THREE,MCTS,MCTS-OwnColor,[],[1],[0],"[1, 1]",0
-1734248369,MultiverseMarbles,0,GAME_OVER,60,59,2,2036,MCTS-OwnColor,1.0,-1.0,MCTS,1,MCTS-OwnColor,1,2,2,MCTS,10,10,TWO_SIDES,MOVE_2,PUSH_1,CENTER_IF_FREE,MORE,ANY_THREE,MCTS,MCTS-OwnColor,[],[],[],[1],1
508346772,MultiverseMarbles,0,GAME_OVER,57,56,2,2037,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,9,8,TWO_SIDES,MOVE_1,PUSH_1,OUT_IS_GONE,EVEN,ANY_THREE,MCTS,MCTS-OwnColor,"[0, 0]",[1],"[0, 0]",[1],0
1565893488,MultiverseMarbles,0,GAME_OVER,79,78,2,2038,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,7,8,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,OUT_IS_GONE,FEWER_OR_MORE,ANY_THREE,MCTS,MCTS-OwnColor,"[0, 1]","[1, 1, 1]","[0, 1]","[1, 1, 1]",0
-215007391,MultiverseMarbles,0,GAME_OVER,75,74,2,2039,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,8,8,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,CENTER_IF_FREE,FEWER_OR_MORE,YOUR_COLOR,MCTS,MCTS-OwnColor,"[0, 1]","[1, 0]","[0, 0, 0, 0, 0, 1]","[1, 0]",0
430451367,MultiverseMarbles,0,GAME_OVER,52,51,2,2040,MCTS-OwnColor,1.0,-1.0,MCTS,1,MCTS-OwnColor,1,2,2,MCTS,10,10,TWO_SIDES,LEAPFROG,PUSH_1,CENTER_IF_FREE,EVEN,ANY_THREE,MCTS,MCTS-OwnColor,[],[],[],[],1
-1997199544,MultiverseMarbles,0,GAME_OVER,70,69,2,2041,MCTS-OwnColor,1.0,-1.0,MCTS,1,MCTS-OwnColor,1,2,2,MCTS,10,9,TWO_SIDES,MOVE_1,PUSH_1,CENTER_REPLACE,MORE,ANY_THREE,MCTS,MCTS-OwnColor,[0],[],"[0, 1]",[1],1
1914491142,MultiverseMarbles,0,GAME_OVER,65,64,2,2042,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,10,10,TWO_SIDES,MOVE_2,PUSH_1,CENTER_IF_FREE,FEWER_OR_MORE,YOUR_COLOR,MCTS,MCTS-OwnColor,[],[],[],"[1, 1]",0
-2130626968,MultiverseMarbles,0,GAME_OVER,71,70,2,2043,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,8,10,TWO_SIDES,MOVE_2,PUSH_1,CENTER_REPLACE,UNEVEN,PUSH_OUT,MCTS,MCTS-OwnColor,[],"[0, 0]",[],"[1, 0, 0, 1, 0]",0
-1174109738,MultiverseMarbles,0,GAME_OVER,39,38,2,2044,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,9,9,TWO_SIDES,MOVE_1,PUSH_1,OUT_IS_GONE,MORE_OR_EQUAL,ANY_THREE,MCTS,MCTS-OwnColor,[0],[0],[0],[0],0
-611995117,MultiverseMarbles,0,GAME_OVER,14,13,2,2045,MCTS-OwnColor,1.0,-1.0,MCTS,1,MCTS-OwnColor,1,2,2,MCTS,10,10,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,CENTER_IF_FREE,FEWER_OR_EQUAL,ANY_THREE,MCTS,MCTS-OwnColor,[],[],[],[],1
2117288457,MultiverseMarbles,0,GAME_OVER,200,200,2,2046,MCTS-OwnColor,-3.0,-3.0,MCTS,1,MCTS-OwnColor,1,1,1,MCTS,8,10,TWO_SIDES,MOVE_2,PUSH_1,OUT_IS_GONE,UNEVEN,PUSH_OUT,MCTS,MCTS-OwnColor,[],"[1, 0]",[],"[1, 0]",-1
