rule_type,rule_value,combination,player0_win_rate,total_games,player0_wins,polarization
movement_victory,Move 1 marble by 1 space in any direction._Occupy all goals of your color.,movement: Move 1 marble by 1 space in any direction. + victory: Occupy all goals of your color.,0.3958333333333333,48.0,19.0,0.10416666666666669
victory,Push out 3 opposing marbles.,victory: Push out 3 opposing marbles.,0.3981481481481481,216.0,86.0,0.10185185185185192
push_victory,Push a column of marbles by 1 space in any direction_Push out 3 opposing marbles.,push: Push a column of marbles by 1 space in any direction + victory: Push out 3 opposing marbles.,0.3981481481481481,216.0,86.0,0.10185185185185192
pushout_pushrequirement,"Pushed out marbles return to the center. Remove any pre-existing marble._You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.","pushout: Pushed out marbles return to the center. Remove any pre-existing marble. + pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.",0.6,60.0,36.0,0.09999999999999998
movement_pushrequirement,Move 1 marble exactly 2 spaces in any direction._You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,movement: Move 1 marble exactly 2 spaces in any direction. + pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,0.4,30.0,12.0,0.09999999999999998
movement_pushout,"Move 1 marble by 1 space in any direction._Pushed out marbles return to the center, if it is free. Else they are removed.","movement: Move 1 marble by 1 space in any direction. + pushout: Pushed out marbles return to the center, if it is free. Else they are removed.",0.4,60.0,24.0,0.09999999999999998
pushrequirement_victory,You can push opposing marbles if you use fewer or more marbles._Occupy all goals of your color.,pushrequirement: You can push opposing marbles if you use fewer or more marbles. + victory: Occupy all goals of your color.,0.6,30.0,18.0,0.09999999999999998
push_pushrequirement,"Push a column of marbles by 1 space in any direction_You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.","push: Push a column of marbles by 1 space in any direction + pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.",0.5877192982456141,114.0,67.0,0.08771929824561409
pushrequirement,"You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.","pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.",0.5877192982456141,114.0,67.0,0.08771929824561409
movement_pushrequirement,Move 1 marble exactly 2 spaces in any direction._You can push opposing marbles if you use fewer or more marbles.,movement: Move 1 marble exactly 2 spaces in any direction. + pushrequirement: You can push opposing marbles if you use fewer or more marbles.,0.5833333333333334,24.0,14.0,0.08333333333333337
pushrequirement_victory,You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent._Push out 3 opposing marbles.,pushrequirement: You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent. + victory: Push out 3 opposing marbles.,0.5833333333333334,24.0,14.0,0.08333333333333337
