Category,Count
"[1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0]",1
"[0, 0, 1, 1]",10
"[1, 1, 0, 0, 0, 0, 1, 0]",1
"[1, 1, 0, 1, 0, 1, 0]",4
"[1, 0]",195
"[1, 1, 0, 0, 0, 1]",1
"[0, 1, 1, 1, 1]",2
"[1, 0, 1, 1, 0, 1, 1, 0]",1
"[1, 1, 1, 1, 1, 1]",7
"[0, 1, 1, 1, 0, 1, 0]",2
"[1, 1, 0, 1, 0, 0]",8
"[1, 1, 1, 1, 1]",22
"[1, 1, 1, 1]",49
"[0, 0, 0, 1, 0]",1
"[1, 1, 0, 1, 1, 0]",2
"[1, 1, 1, 0, 1, 0, 0]",9
"[0, 0, 1, 0, 0]",4
"[0, 1, 1, 0]",4
"[1, 1, 1, 1, 0, 0]",7
"[1, 1, 0, 1, 1, 0, 0]",9
"[1, 1, 1, 1, 1, 0]",8
"[1, 0, 0, 0, 1, 1, 0, 0, 1]",1
"[1, 0, 0, 0, 1]",3
"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1
"[1, 1, 1, 0, 0]",22
"[1, 0, 1, 0]",17
"[1, 1, 1, 0]",48
"[0, 0, 0, 1, 0, 0, 0]",1
"[1, 0, 0, 1, 0, 0, 0, 1, 1]",1
"[1, 0, 1, 0, 1, 1, 1]",1
"[1, 0, 1, 1, 0, 0, 0, 0]",1
"[1, 1, 0, 1, 0, 1, 1, 0]",1
"[1, 0, 1, 1, 1, 1, 1, 0, 0]",1
"[0, 0, 1, 0, 1, 0, 0, 0]",1
"[0, 0, 0, 0, 1, 1, 0, 0]",1
"[1, 1, 0, 0, 1, 1, 1, 0]",3
"[0, 0, 1, 1, 1, 1, 0]",1
"[1, 1, 0, 0, 1, 1, 0]",7
"[1, 1, 0, 0, 0]",46
"[1, 1, 1, 1, 1, 1, 1, 0]",4
"[1, 0, 1]",43
"[0, 1, 0, 0, 1, 1, 0]",1
"[0, 0, 1, 1, 0]",19
"[0, 0, 0, 0, 0, 0, 0]",3
"[1, 1, 0, 0, 0, 0, 0, 0, 0]",1
"[1, 1, 0, 1, 1, 1, 0, 0]",2
"[1, 1, 1, 1, 0, 0, 0]",12
"[1, 0, 0, 0, 0, 1, 0, 0]",1
"[1, 0, 0, 1, 1]",4
"[0, 0, 0, 0, 1]",2
"[1, 1, 1, 1, 0, 1]",3
"[1, 1, 1, 1, 1, 1, 0]",3
"[1, 0, 0, 1, 1, 1, 0, 1, 1]",1
"[0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1]",1
"[1, 0, 0, 0]",143
"[0, 1, 1, 1, 0, 0]",3
"[1, 1, 0, 1, 0, 0, 0, 0]",1
"[0, 0, 1, 0, 0, 0, 0, 0]",1
"[1, 1, 0, 1, 0, 0, 0]",2
"[0, 0, 0, 0, 0, 0]",7
"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[1, 1, 1, 1, 0]",19
"[1, 0, 1, 1, 1]",1
"[0, 0, 1, 1, 1]",1
"[0, 1, 1, 1, 1, 0]",1
"[1, 0, 1, 0, 1, 1, 0]",2
"[0, 0, 0, 0, 0]",10
"[1, 0, 0, 1, 0, 1]",2
"[1, 1, 0, 1, 0]",6
"[0, 0, 0, 0]",47
"[1, 1, 1, 1, 1, 1, 0, 1, 1]",1
"[1, 1, 0, 1, 1]",5
"[1, 1, 0, 1, 1, 1, 1, 0]",1
"[1, 0, 1, 0, 0, 0]",1
"[0, 1, 1, 0, 1, 1, 0]",1
"[0, 0, 0, 0, 1, 0, 0, 0]",1
"[1, 1, 1, 0, 0, 0, 0, 0]",1
"[1, 0, 0, 0, 0, 0, 0, 1, 1]",1
"[0, 1, 1, 1, 1, 1, 1, 1]",1
"[1, 1, 0, 1, 1, 1, 1]",1
"[1, 1, 1, 1, 0, 1, 0, 1, 0]",1
[],5183
"[0, 0, 0]",685
"[0, 0, 1, 1, 1, 0]",5
"[1, 0, 0]",81
"[0, 0]",387
[1],787
"[1, 1, 1, 0, 1, 0]",6
"[1, 1, 1, 0, 0, 1]",1
"[1, 0, 1, 0, 1, 0]",8
"[1, 1, 1, 1, 1, 0, 0, 0]",3
[0],913
"[1, 1, 1, 1, 0, 1, 1, 1, 1]",1
"[0, 0, 1, 0]",52
"[0, 0, 0, 1, 0, 1]",2
"[1, 1, 0, 1]",14
"[1, 0, 1, 1, 1, 1, 0, 0]",1
"[0, 1, 0]",23
"[1, 1, 1, 0, 0, 0, 1]",1
"[0, 1, 0, 0, 0, 0]",2
"[1, 0, 1, 1, 1, 0, 0]",2
"[1, 0, 0, 0, 0, 1, 0]",2
"[1, 0, 0, 0, 0, 0, 0, 0]",1
"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1]",1
"[1, 0, 1, 1, 0]",4
"[1, 1, 1, 0, 0, 0]",22
"[0, 1, 1, 1, 1, 0, 0]",2
"[1, 0, 0, 0, 0]",11
"[1, 1, 1, 0, 1, 1]",5
"[1, 0, 0, 1]",6
"[1, 0, 0, 1, 1, 1, 0, 1, 0, 0]",1
"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
"[0, 1, 0, 1, 1, 0]",1
"[0, 0, 0, 0, 1, 0, 0]",1
"[1, 0, 0, 0, 1, 1]",1
"[1, 1, 1, 0, 1]",7
"[1, 0, 1, 1, 1, 1, 0]",1
"[0, 0, 1, 1, 0, 0]",1
"[1, 0, 1, 1, 0, 0]",7
"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"[0, 0, 1, 1, 1, 1, 1]",1
"[0, 1, 0, 0, 1, 1]",1
"[0, 1, 0, 0, 0]",3
"[0, 0, 0, 1]",2
"[1, 0, 1, 1, 1, 1, 1]",1
"[0, 0, 0, 0, 0, 0, 0, 0]",2
"[1, 0, 0, 1, 0]",34
"[1, 1, 1, 1, 1, 1, 1, 1, 1]",2
"[1, 1, 1, 1, 1, 1, 0, 1, 0, 0]",1
"[0, 1, 1, 0, 0]",8
"[0, 1, 0, 0, 1]",1
"[1, 0, 0, 1, 1, 1]",2
"[0, 1, 1, 1, 0]",2
"[1, 1, 1, 1, 1, 1, 1, 1, 0]",1
"[1, 1, 1, 1, 1, 1, 1]",5
"[1, 0, 0, 1, 0, 1, 0, 1, 1]",1
